rule_id,benefit_type,plan_tier,employment_type,tenure_min_months,age_min,age_max,preauth_required,coverage_percent,annual_limit_sgd,co_pay_sgd,is_excluded,exclusion_reason,required_docs,effective_from,effective_to,service_category
R001,outpatient,basic,full_time,0,18,65,false,60,1500,20,false,,receipt;mc,2024-01-01,2099-12-31,general_consult
R002,outpatient,plus,full_time,0,18,70,false,80,3000,15,false,,receipt;mc,2024-01-01,2099-12-31,general_consult
R003,outpatient,premium,full_time,0,18,70,false,90,5000,10,false,,receipt;mc,2024-01-01,2099-12-31,general_consult
R004,outpatient,plus,contract,3,18,70,false,80,3000,15,false,,receipt;mc,2024-01-01,2099-12-31,general_consult
R005,outpatient,premium,contract,3,18,70,false,90,5000,10,false,,receipt;mc,2024-01-01,2099-12-31,general_consult
R006,outpatient,basic,full_time,0,18,65,false,60,1500,20,false,,receipt;mc;referral_letter,2024-01-01,2099-12-31,specialist_consult
R007,dental,plus,full_time,1,18,70,false,80,800,25,false,,invoice;treatment_summary,2024-01-01,2099-12-31,preventive_dental
R008,dental,premium,full_time,1,18,70,false,100,2000,15,false,,invoice;treatment_summary,2024-01-01,2099-12-31,preventive_dental
R009,dental,basic,full_time,0,18,65,true,0,0,0,true,Basic plan does not include dental coverage,,2024-01-01,2099-12-31,preventive_dental
R010,dental,plus,contract,1,18,70,true,0,0,0,true,Contract employees not eligible for dental benefits,,2024-01-01,2099-12-31,preventive_dental
R011,dental,premium,contract,1,18,70,true,0,0,0,true,Contract employees not eligible for dental benefits,,2024-01-01,2099-12-31,preventive_dental
R012,dental,premium,full_time,1,18,70,false,50,2000,15,false,,invoice;treatment_summary;xray;dentist_justification;preauth_form,2024-01-01,2099-12-31,major_dental
R013,mental_health,plus,full_time,6,18,70,false,70,1800,30,false,,therapist_invoice;license_proof;diagnosis_summary,2024-01-01,2099-12-31,therapy_session
R014,mental_health,premium,full_time,6,18,70,false,85,3500,30,false,,therapist_invoice;license_proof;diagnosis_summary,2024-01-01,2099-12-31,therapy_session
R015,mental_health,basic,full_time,0,18,65,true,0,0,0,true,Basic plan only provides EAP (3 free sessions),,2024-01-01,2099-12-31,therapy_session
R016,mental_health,premium,contract,12,18,70,false,85,3500,30,false,,therapist_invoice;license_proof;diagnosis_summary,2024-01-01,2099-12-31,therapy_session
R017,mental_health,plus,contract,6,18,70,true,0,0,0,true,Contract employees must complete 12 months for mental health benefits,,2024-01-01,2099-12-31,therapy_session
R018,outpatient,premium,full_time,0,18,70,false,90,5000,10,false,,receipt;mc,2024-01-01,2099-12-31,specialist_consult
R019,outpatient,premium,full_time,0,18,70,true,90,5000,10,false,,receipt;mc;referral_letter;preauth_form,2024-01-01,2099-12-31,diagnostic_imaging
R020,outpatient,basic,full_time,0,66,120,true,0,0,0,true,Age exceeds Basic plan maximum (65 years),,2024-01-01,2099-12-31,general_consult
R021,outpatient,plus,full_time,0,71,120,true,0,0,0,true,Age exceeds Plus plan maximum (70 years),,2024-01-01,2099-12-31,general_consult
R022,dental,plus,full_time,1,18,70,false,60,800,25,false,,invoice;treatment_summary,2024-01-01,2099-12-31,restorative_dental
R023,dental,plus,full_time,1,18,70,true,0,0,0,true,Orthodontics excluded for all plans,,2024-01-01,2099-12-31,orthodontics
R024,outpatient,plus,full_time,0,18,70,true,0,0,0,true,Cosmetic/elective procedures excluded unless medically necessary,,2024-01-01,2099-12-31,cosmetic_procedure
R025,dental,premium,full_time,1,18,70,false,80,2000,15,false,,invoice;treatment_summary,2024-01-01,2099-12-31,restorative_dental
R026,outpatient,plus,full_time,0,18,70,false,80,3000,15,false,,receipt;mc;referral_letter,2024-01-01,2099-12-31,specialist_consult
R027,mental_health,plus,full_time,6,18,70,true,0,0,0,true,Couples counseling excluded unless related to diagnosed mental health condition,,2024-01-01,2099-12-31,couples_counseling
R028,outpatient,plus,contract,0,18,70,true,0,0,0,true,Contract employees require 3 months tenure for outpatient coverage,,2024-01-01,2099-12-31,general_consult
R029,mental_health,premium,contract,0,18,70,true,0,0,0,true,Contract employees require 12 months tenure for mental health coverage,,2024-01-01,2099-12-31,therapy_session
R030,dental,plus,full_time,0,18,70,true,0,0,0,true,Dental benefits require minimum 1 month tenure,,2024-01-01,2099-12-31,preventive_dental
